Task,Count of tasks_to_dwas.csv
"Track research participants, and perform any necessary follow-up tasks.",1
"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",1
Track product flow from origin to final delivery.,1
Track materials removed from files to ensure that borrowed files are returned.,1
Track laboratory supplies and expenses such as participant reimbursement.,1
Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,1
Track delivery progress of shipments.,1
Track cost-containment strategies and programs to evaluate effectiveness.,1
"Track conditions that could affect power needs, such as changes in the weather, and adjust equipment to meet any anticipated changes.",2
"Track attendance, participation, or performance data related to wellness events.",1
Track animals by checking for signs such as droppings or destruction of vegetation.,1
"Track and maintain records for wind operations, such as site performance, downtime events, parts usage, or substation events.",1
"Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.",2
"Track accumulated hours and dollar amounts charged to each client job to calculate client fees for professional services, such as legal or accounting services.",1
"Trace outlines of specified patterns onto material, and cut fabric, using scissors.",2
"Trace outlines of paper onto cardboard patterns, and cut patterns into parts to make templates.",2
"Trace out short circuits in wiring, using test meter.",1
"Trace lost, delayed, or misdirected baggage for customers.",1
"Trace historical development in a particular field, such as social, cultural, political, or diplomatic history.",1
"Trace electrical circuits, following diagrams, and conduct tests with circuit testers and other equipment to locate shorts and grounds.",1
Trace electrical circuitry to ensure compliance of electrical systems with applicable codes or laws.,1
"Trace drawings onto clear acetate for painting or coloring, or trace them with ink to make final copies.",1
"Trace delinquent customers to new addresses by inquiring at post offices, telephone companies, credit bureaus, or through the questioning of neighbors.",2
Trace contours or topographic details to generate maps that denote specific land or property locations or geographic attributes.,1
Trace and tag meters or house lines.,1
"Tow, push, or guide other boats, barges, logs, or rafts.",1
Tow and maneuver barges or signal tugboats to tow barges to destinations.,2
"Tow aircraft to gates or hangars using tugs, tractors, or other vehicles.",1
"Tour grounds, such as parks, botanical gardens, cemeteries, or golf courses, to inspect conditions of plants and soil.",1
"Total checks, present them to customers, and accept payment for services.",1
Tint eyelashes and eyebrows.,1
"Time stoplights or other delays, using stopwatches.",1
"Tilt, dip, and turn suspended loads to maneuver over, under, or around obstacles, using multi-point suspension techniques.",1
Tighten pulleys or add abrasives to maintain cutting speeds.,1
"Tighten or replace loose jewels, using watchmakers' tools.",1
"Tighten loose bolts, using wrenches, and test circuits and connections by opening and closing gates.",2
"Tighten ends of anchored truss bolts, using turnbuckles.",1
"Tie, knit, weave or knot ribbon, yarn, or decorative materials.",1
Tie specified lengths of delaying fuses into patterns in order to time sequences of explosions.,1
"Tie products in bundles for further processing or shipment, following prescribed procedures.",1
"Tie barges together into tow units for tugboats to handle, inspecting barges periodically during voyages and disconnecting them when destinations are reached.",2
"Tie and bunch flowers, plants, shrubs, and trees, wrap their roots, and pack them into boxes to fill orders.",1
"Ticket, arrange, and display merchandise to promote sales.",1
"Thread yarn, thread, or fabric through guides, needles, and rollers of machines.",2
"Thread yarn, thread, and fabric through guides, needles, and rollers of machines for weaving, knitting, or other processing.",1
Thread strapping through strapping tools and secure battens with strapping to form protective pallets around extrusions.,1
"Thread or feed sheets or rods through rolling mechanisms, or start and control mechanisms that automatically feed steel into rollers.",1
Thread or feed items or products through or around machine rollers and dryers.,1
"Thread filmstrips through densitometers or sensitometers and expose film to light to determine density of film, necessary color corrections, or light sensitivity.",1
Thread ends of metal coils from reels through slitters and secure ends on recoilers.,1
Thread ends of cloth or twine through specified sections of equipment prior to processing.,1
"Thread conduit ends, connect couplings, and fabricate and secure conduit support brackets, using hand tools.",3
"Thread cables through derrick pulleys, using hand tools.",1
Thread and hand-feed materials through machine cutters or abraders.,1
"Thin or space trees, using power thinning saws.",2
"Thin and space trees and control weeds and undergrowth, using manual tools and chemicals, or supervise workers performing these tasks.",1
Testify regarding decisions at immigration appeals or in federal court.,1
Testify in legal proceedings.,1
Testify in depositions or trials as an expert witness.,1
Testify in court to present evidence or act as witness in traffic and criminal cases.,1
Testify in court regarding investigation findings.,1
Testify in court or at administrative proceedings concerning investigation findings.,1
"Testify in court cases involving fires, suspected arson, and false alarms.",1
Testify in court as to the value of a piece of tangible property.,1
Testify in court as to the value of a piece of real estate property.,1
Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.,1
Testify in court and present evidence.,1
Testify in court about investigative or analytical methods or findings.,1
Testify in civil or criminal court proceedings.,1
Testify before public agencies on proposed legislation affecting businesses.,1
Testify before grand juries concerning criminal activity investigations.,1
"Testify before examining and fund-granting authorities, clarifying and promoting the proposed budgets.",1
"Testify at regulatory or legislative hearings concerning the estimated effects of changes in legislation or public policy, and present recommendations based on cost-benefit analyses.",1
"Testify at inquests, hearings, and court trials.",1
Testify at hearings or court trials to present evidence.,1
"Testify as an expert witness in court cases on land survey issues, such as property boundaries.",1
"Test, validate, and reformulate models to ensure accurate prediction of outcomes of interest.",1
"Test, maintain, or repair electrical power distribution machinery or equipment, using hand tools, power tools, and testing devices.",3
"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",3
"Test, evaluate, and classify excess or in-use medical equipment and determine serviceability, condition, and disposition, in accordance with regulations.",1
"Test, clean, maintain, and repair broadcast equipment, including testing microphones, to ensure proper working condition.",1
"Test workplaces for environmental hazards, such as exposure to radiation, chemical or biological hazards, or excessive noise.",1
Test wind turbine equipment to determine effects of stress or fatigue.,1
"Test wind turbine components, using mechanical or electronic testing equipment.",1
"Test water sources for factors, such as flow volume and contaminant presence.",1
"Test vessels for leaks, damage, and defects, and repair or replace defective parts as necessary.",2
"Test vehicle equipment, such as lights, brakes, horns, or windshield wipers, to ensure proper operation.",2
"Test valves and regulators for leaks and accurate temperature and pressure settings, using precision testing equipment.",1
Test units for operability before and after repairs.,1
"Test tubes and pickups in electronic amplifier units, and solder parts and connections as necessary.",2
"Test timepiece accuracy and performance, using meters and other electronic instruments.",1
"Test the security of systems by attempting to gain access to networks, Web-based applications, or computers.",1
Test the security and performance of blockchain infrastructures.,1
Test tags or labels to ensure readability.,1
Test system modifications to prepare for implementation.,1
"Test structures, controls, or mechanical, hydraulic, or electrical systems, according to test plans or in coordination with engineers.",2
Test solutions used to process textile goods to detect variations from standards.,1
"Test soils or materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel.",1
Test software systems or applications for software enhancements or new products.,1
"Test sites and materials to establish facts, such as burn patterns and flash points of materials, using test equipment.",1
Test selected products at specified stages in the production process for performance characteristics or adherence to specifications.,1
Test security measures for final acceptance and implement or provide procedures for ongoing monitoring and evaluation of the measures.,2
"Test samples to determine viscosity, acidity, specific gravity, or degree of concentration, using test equipment such as viscometers, pH meters, or hydrometers.",1
"Test samples of materials or products to ensure compliance with specifications, using test equipment.",2
"Test samples for specific gravity, using hydrometers, or send samples to laboratories for testing.",1
Test rigging to ensure safety and reliability.,1
"Test repaired, newly installed, or updated equipment to ensure that it functions properly and conforms to specifications, using test equipment and observation.",1
Test repaired items to ensure proper operation.,1
Test radio frequency identification device (RFID) software to ensure proper functioning.,1
"Test programs or databases, correct errors, and make necessary modifications.",4
"Test products for moisture content, using moisture meters.",1
"Test product samples for specific gravity, chemical characteristics, pH levels, concentrations, or viscosities, or send them to laboratories for testing.",1
Test plant equipment to ensure it is operating properly.,1
"Test pipes, lines, components, and connections for leaks.",1
"Test physical properties of products with testing devices such as acid-bath testers, burst testers, and impact testers.",1
"Test performance of vehicles that use alternative fuels, such as alcohol blends, natural gas, liquefied petroleum gas, biodiesel, nano diesel, or alternative power methods, such as solar energy or hydrogen fuel cells.",1
"Test performance of robotic assemblies, using instruments such as oscilloscopes, electronic voltmeters, or bridges.",1
"Test performance of electromechanical assemblies, using test instruments such as oscilloscopes, electronic voltmeters, or bridges.",1
Test patterns by making and fitting sample garments.,1
"Test patients' hemoglobin, hematocrit, and blood glucose levels.",1
"Test parts for hardness, using hardness testing equipment, or by examining and feeling samples.",1
"Test or perform failure analysis for optomechanical or optoelectrical products, according to test plans.",1
Test or maintain equipment to ensure correct performance.,1
Test or evaluate photovoltaic (PV) cells or modules.,1
"Test or calibrate components or equipment, following manufacturers' manuals and troubleshooting techniques, using hand tools, power tools, or measuring devices.",2
Test or balance newly installed HVAC systems to determine whether indoor air quality standards are met.,1
"Test operation or functionality of mechanical, plumbing, electrical, and control systems.",3
"Test operation of tower transmission components, using sweep testing tools or software.",1
"Test operation of engines and other systems, using test equipment, such as ignition analyzers, compression checkers, distributor timers, or ammeters.",1
"Test operation and fit of timepiece parts and subassemblies, using electronic testing equipment, tweezers, watchmakers' tools, and loupes.",1
"Test operating voltages to ensure operation within acceptable limits for power conditioning equipment, such as inverters and controllers.",1
"Test oil in circuit breakers and transformers for dielectric strength, refilling oil periodically.",1
"Test newly installed equipment to ensure that it meets specifications, such as stopping at floors for set amounts of time.",1
Test new systems to ensure that they are in working order.,1
Test new software packages for use in Web operations or other applications.,1
"Test new products for flavor, texture, color, nutritional content, and adherence to government and industry standards.",1
Test new or updated software or tools and provide feedback to developers.,1
Test new and updated bioinformatics tools and software.,1
"Test metals to determine conformance to specifications of mechanical strength, strength-weight ratio, ductility, magnetic and electrical properties, and resistance to abrasion, corrosion, heat, and cold.",1
"Test medical supportive devices for proper alignment, movement, or biomechanical stability, using meters and alignment fixtures.",1
Test mechanical products and equipment after repair or assembly to ensure proper performance and compliance with manufacturers' specifications.,1
"Test materials and solutions, using testing equipment.",1
"Test material samples for tolerance under tension, compression, and shear to determine the cause of metal failures.",1
Test magnetic resonance imaging (MRI) equipment to ensure proper functioning and performance in accordance with specifications.,1
"Test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.",1
Test machines to determine proper functioning.,1
Test machinery to ensure that it is operating properly.,1
Test machinery to ensure proper functioning before beginning production.,1
Test machinery and equipment to ensure that it is safe and conforms to performance specifications.,1
Test lighting equipment function and desired lighting effects.,1
"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",1
"Test insulators and bushings of equipment by inducing voltage across insulation, testing current, and calculating insulation loss.",1
"Test industrial diamonds or abrasives, soil, or rocks to determine their geological characteristics, using optical, x-ray, heat, acid, or precision instruments.",1
Test individual parts and products to ensure that manufacturer and governmental quality and safety standards are met.,1
"Test gas, chemicals, and air during processing to assess factors such as purity and moisture content, and to detect quality problems or gas or chemical leaks.",1
"Test food product samples for moisture content, acidity level, specific gravity, or butter-fat content, and continue processing until desired levels are reached.",1
"Test faulty equipment to diagnose malfunctions, using test equipment or software, and applying knowledge of the functional operation of electronic units and systems.",1
"Test experimental models under simulated operating conditions, for purposes such as development, standardization, or feasibility of design.",2
Test equipment to ensure proper operation.,1
Test equipment prior to use to ensure that it is in good working order.,1
"Test equipment performance, focus of lens system, diaphragm alignment, lens mounts, or film transport, using precision gauges.",1
"Test equipment functions such as signal strength and quality, transmission capacity, interference, and signal delay, using equipment such as oscilloscopes, circuit analyzers, frequency meters, and wattmeters.",1
"Test equipment for overheating, using speed gauges and thermometers.",1
Test emergency transmitters to ensure their readiness for immediate use.,1
Test electronic computer components in automobiles to ensure proper operation.,1
"Test electrical systems to determine voltages, using voltage meters.",1
"Test electrical systems or continuity of circuits in electrical wiring, equipment, or fixtures, using testing devices, such as ohmmeters, voltmeters, or oscilloscopes, to ensure compatibility and safety of system.",1
Test electrical systems of cars by operating systems and using testing equipment such as ammeters.,1
"Test electrical components of wind systems with devices, such as voltage testers, multimeters, oscilloscopes, infrared testers, or fiber optic equipment.",1
"Test electrical circuits or components for continuity, using electrical test equipment.",1
"Test drive vehicles and test components and systems, using equipment such as infrared engine analyzers, compression gauges, and computerized diagnostic devices.",1
Test drive trucks and buses to diagnose malfunctions or to ensure that they are working properly.,1
Test dosage evaluation instruments and survey meters to ensure they are operating properly.,1
Test documented disaster recovery strategies and plans.,1
Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.,1
Test connections to ensure that power supplies are adequate and that communications links function.,1
"Test conductors, according to electrical diagrams and specifications, to identify corresponding conductors and to prevent incorrect connections.",1
"Test computer software or hardware, using standard diagnostic testing equipment and procedures.",2
"Test components or circuits of faulty equipment to locate defects, using oscilloscopes, signal generators, ammeters, voltmeters, or special diagnostic software programs.",1
"Test combustible appliances, such as gas appliances.",1
"Test circuits and components of malfunctioning telecommunications equipment to isolate sources of malfunctions, using test meters, circuit diagrams, polarity probes, and other hand tools.",1
Test changes to database applications or systems.,2
"Test boiler water quality or arrange for testing and take necessary corrective action, such as adding chemicals to prevent corrosion and harmful deposits.",1
"Test battery charges, and replace or recharge batteries as necessary.",2
"Test batteries, using hydrometers and ammeters, and charge batteries as necessary.",2
"Test baggage for any explosive materials, using equipment such as explosive detection machines or chemical swab systems.",1
Test backup or recovery plans regularly and resolve any problems.,2
"Test backup batteries, keypad programming, sirens, or other security features to ensure proper functioning or to diagnose malfunctions.",1
Test atmosphere for adequate oxygen or explosive conditions when working in confined spaces.,1
"Test appliances for conformance to specifications and accuracy of occlusion, using articulators and micrometers.",1
"Test and verify hardware and support peripherals to ensure that they meet specifications and requirements, by recording and analyzing test data.",1
"Test and troubleshoot instruments, components, and assemblies, using circuit testers, oscilloscopes, or voltmeters.",2
"Test and replace electrical components and wiring, using test meters, soldering equipment, and hand tools.",2
Test and replace batteries and other electronic components.,2
Test and repair track circuits.,2
"Test and repair or replace electrical equipment, such as circuit breakers, station batteries, cable trays, conduits, or control devices.",2
"Test and repair circuits and sensors, following wiring and system specifications.",2
"Test and measure patient's strength, motor development and function, sensory perception, functional capacity, or respiratory or circulatory efficiency and record data.",3
"Test and inspect engines to determine malfunctions, to locate missing and broken parts, and to verify repairs, using diagnostic instruments.",2
"Test and examine gas pipelines and equipment to locate leaks and faulty connections, and to determine the pressure and flow of gas.",1
Test and evaluate patients' physical and mental abilities and analyze medical data to determine realistic rehabilitation goals for patients.,2
"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",2
"Test and diagnose air flow systems, using furnace efficiency analysis equipment.",1
Test and charge batteries.,2
"Test and analyze samples to determine their content and characteristics, using laboratory apparatus or testing equipment.",1
Test and adjust repaired systems to meet manufacturers' performance specifications.,2
"Test and adjust machine speeds or actions, according to product specifications, using gauges and hand tools.",2
"Test and adjust communication and alarm systems, and report malfunctions to maintenance units.",3
"Test aircraft systems under simulated operational conditions, performing systems readiness tests and pre- and post-operational checkouts, to establish design or fabrication parameters.",1
"Test air to detect toxic gases and recommend measures to remove them, such as installation of ventilation shafts.",2
Test agricultural machinery and equipment to ensure adequate performance.,1
"Terminate, cure, polish, or test fiber cables with mechanical connectors.",1
"Tend vessels that store substances such as gases, liquids, slurries, or powdered materials, checking levels of substances by using calibrated rods or by reading mercury gauges and tank charts.",2
Tend spinning frames that draw out and twist roving or sliver into yarn.,1
"Tend pumps, compressors, or generators to provide power for tools, machinery, or equipment or to heat or move materials, such as asphalt.",1
Tend or operate machine that packages product.,1
"Tend or operate and control equipment, such as kettles, cookers, vats and tanks, and boilers, to cook ingredients or prepare products for further processing.",1
"Tend machines with multiple winding units that wind thread onto shuttle bobbins for use on sewing machines or other kinds of bobbins for sole-stitching, knitting, or weaving machinery.",1
"Tend machines that twist together two or more strands of yarn or insert additional twists into single strands of yarn to increase strength, smoothness, or uniformity of yarn.",1
"Tend machines that pump concrete, grout, cement, sand, plaster, or stucco through spray guns for application to ceilings or walls.",1
Tend machines that bond cope and drag together to form completed shell molds.,1
"Tend auxiliary equipment, such as jacks, slings, cables, or stop blocks, to facilitate moving items or materials for further processing.",1
Tend auxiliary equipment used in welding processes.,1
Tend auxiliary equipment used in the power distribution process.,1
"Tend auxiliary equipment such as water treatment and refrigeration units, and heat exchangers.",1
"Tend assembly lines, performing a few of the many cuts needed to process a carcass.",2
Tend and observe equipment and machinery to verify efficient and safe operation.,1
"Tend accessory equipment, such as pumps or conveyors, to move materials or ingredients through production processes.",1
"Tend accessory equipment, such as pumps and conveyors, to move materials or ingredients through production processes.",1
"Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.",1
Telephone or write letters to respond to correspondence from customers or to follow up initial sales contacts.,1
"Tear down, repair, and rebuild faulty assemblies, such as power systems, steering systems, and linkages.",3
"Teach, train, supervise, or use the assistance of students, respiratory therapy technicians, or assistants.",2
"Teach, take continuing education classes, attend conferences or seminars, or conduct research and publish findings to increase understanding of mental, emotional, or behavioral states or disorders.",3
Teach writing or communication classes.,2
Teach writing classes.,1
"Teach theories, principles, and methods of economics.",1
"Teach students, dancers, and other performers about rhythm and interpretive movement.",1
"Teach students study skills, note-taking skills, and test-taking strategies.",1
"Teach students personal development skills, such as goal setting, independence, or self-advocacy.",2
"Teach students personal development skills, such as goal setting, independence, and self-advocacy.",1
Teach students or other staff.,1
Teach sports medicine courses to athletic training students.,1
Teach sociology.,1
"Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.",4
"Teach socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.",2
Teach social skills to students.,2
"Teach social skills to students, such as communication, conflict resolution, and etiquette.",2
"Teach skills, such as proper climbing methods, and demonstrate and advise on the use of equipment.",1
Teach self-advocacy skills to clients.,2
Teach residents or medical students about pediatric topics.,2
Teach public education programs on fire safety and prevention.,1
Teach proper eating habits and personal hygiene.,1
Teach proper breathing techniques used during physical exertion.,1
"Teach principles of medicine and medical and laboratory procedures to physicians, residents, students, and technicians.",2
Teach pottery classes.,1
Teach political science.,1
Teach physics to students.,1
Teach physical therapy students or those in other health professions.,1
Teach pharmacy students serving as interns in preparation for their graduation or licensure.,1
"Teach personal development skills, such as goal setting, independence, and self-advocacy.",1
Teach patients to use home health care equipment.,2
Teach patients how to deal constructively with their emotions.,1
Teach patient education programs that include information required to make informed health care and treatment decisions.,1
Teach or train medical staff regarding preventive medicine issues.,1
Teach or train medical and clinical staff.,1
Teach or supervise students and perform research at universities and colleges.,1
Teach or mentor undergraduate and graduate students in anthropology or archeology.,1
Teach or guide individuals or groups unfamiliar with specific hunting methods or types of prey.,1
Teach or advise undergraduate or graduate students or supervise their research.,1
"Teach nuclear medicine, diagnostic radiology, or other specialties at graduate educational level.",1
Teach music for specific instruments.,1
"Teach medical dosimetry, including its application, to students, radiation therapists, or residents.",2
"Teach library patrons basic computer skills, such as searching computerized databases.",1
Teach instructors to use instructional technology or to integrate technology with teaching.,1
Teach instructional courses and advise students.,1
"Teach individual and team sports to participants through instruction and demonstration, using knowledge of sports techniques and of participants' physical capabilities.",2
"Teach independent living skills or techniques, such as adaptive eating, medication management, diabetes management, and personal management.",1
Teach in colleges and universities.,3
"Teach group exercise for low-, medium-, or high-risk clients to improve participant strength, flexibility, endurance, or circulatory functioning.",1
Teach graduate or continuing education courses or seminars in biostatistics.,1
Teach geography.,1
"Teach fitness classes to improve strength, flexibility, cardiovascular conditioning, or general fitness of participants.",1
Teach fire investigation techniques to other firefighter personnel.,2
Teach dance students.,1
Teach courses within their department.,1
"Teach courses or seminars related to exercise or diet for patients, athletes, or community groups.",1
"Teach courses or seminars on topics, such as budgeting, management of personal finances, or financial literacy.",1
Teach courses in environmental economics.,2
Teach company regulations and procedures to other pilots.,1
Teach community courses and speak to local groups and organizations.,1
"Teach college-level courses on topics such as atmospheric and space science, meteorology, or global climate change.",1
"Teach clients to travel independently, using a variety of actual or simulated travel situations or exercises.",1
"Teach clients to control or strengthen tongue, jaw, face muscles, or breathing mechanisms.",1
Teach classes using online technology.,1
"Teach classes or otherwise disseminate medical or dental health information to school groups, community groups, or targeted families or individuals, in a manner consistent with cultural norms.",2
Teach classes or courses to students.,1
Teach classes or courses or provide direct care to children.,1
"Teach classes in mental health topics, such as stress reduction.",1
Teach classes and present self-help or information sessions on subjects related to education and career planning.,1
"Teach cane skills, including cane use with a guide, diagonal techniques, and two-point touches.",1
Teach behavior modification classes related to topics such as stress management or weight control.,1
"Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, or social skills, to preschool students with special needs.",1
"Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.",2
Teach astronomy or astrophysics.,1
Teach artistic techniques to children or adults.,1
"Teach art therapy techniques or processes to artists, interns, volunteers, or others.",1
"Teach and perform age-appropriate activities, such as lap play, reading, and arts and crafts, to encourage intellectual development of children.",1
Teach and explain the rules and regulations governing a specific sport.,1
"Teach and demonstrate use of gymnastic and training equipment, such as trampolines and weights.",2
"Teach and conduct research in colleges, universities, museums, and other research agencies and schools.",1
Teach acting classes.,2
"Teach a variety of subjects, such as English, mathematics, and social studies.",1
Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.,1
Tape or twist together thread or cord to repair breaks.,1
Tap or tilt molds to ensure uniform distribution of materials.,1
Tap mainline sewers to install sewer saddles.,1
Tap and drill holes into pipes to introduce auxiliary lines or devices.,1
"Talk with clients during art or other therapy sessions to build rapport, acknowledge their progress, or reflect upon their reactions to the artistic process.",1
Talk to other physicians about patients to create a treatment plan.,1
Talk to or interact with animals to familiarize them to human voices or contact.,1
Talk to customers to convey information about events or activities.,1
Talk to customers or refer to work orders to establish the nature of appliance malfunctions.,2
"Talk to coworkers using electronic devices, such as computers and radios.",1
"Talk to clients and study instructions, plans, or diagrams to establish work requirements.",2
"Talk to children's parents or guardians about problematic behaviors, emotional or developmental problems, or related issues.",2
"Take, receive, or check periodic inmate counts.",1
"Take up or let down hems to shorten or lengthen garment parts, such as sleeves.",1
Take thorough and accurate patient medical histories.,1
Take test samples or photographs to assess the condition of vessels or structures.,1
"Take site survey photos or photos of work performed, using digital cameras.",1
"Take samples to assess the amount and quality of oil, the depth at which resources lie, and the equipment needed to properly extract them.",1
"Take samples of gases and conduct chemical tests to determine gas quality and sulfur or moisture content, or send samples to laboratories for analysis.",2
Take residents on community outings.,1
"Take regulatory action, based on readings from charts, meters and gauges, at established intervals.",1
"Take readings and record data, such as water levels, temperatures, or flow rates.",1
Take quote requests or orders from dealers or customers.,1
Take product samples during or after processing for laboratory analyses.,1
"Take prisoners into custody and escort to locations within and outside of facility, such as visiting room, courtroom, or airport.",1
"Take pictures or video, and process them for inclusion in a story.",2
"Take pictures of individuals, families, and small groups, either in studio or on location.",1
Take photographs of property.,1
Take photographs of displays or signage.,1
Take photographs and motion pictures for use in lectures and publications and to develop displays.,1
Take patients' body or limb measurements for use in device construction.,1
Take out garbage.,1
Take orders from patrons for food or beverages.,1
"Take orders from customers and cook foods requiring short preparation times, according to customer requirements.",2
Take orders for merchandise or materials and send them to the proper departments to be filled.,2
Take orders for imprinted checks.,1
"Take numbered tags from customers, locate vehicles, and deliver vehicles, or provide customers with instructions for locating vehicles.",1
Take notes in shorthand or use a stenotype or shorthand machine that prints letters on a paper tape.,1
"Take measurements to determine if appliances will fit in installation locations, performing minor carpentry work when necessary to ensure proper installation.",1
Take measurements and study floor sketches to calculate the area to be carpeted and the amount of material needed.,3
Take inventory or examine merchandise to identify items to be reordered or replenished.,1
Take inventory of supplies and equipment.,1
"Take inventory of headsets, alcoholic beverages, and money collected.",1
Take food orders and relay orders to kitchens or serving counters so they can be filled.,1
Take food and drink orders and receive payment from customers.,2
"Take fingerprints of arrestees, prisoners, or the general public.",1
"Take emergency actions, such as closing production facilities, if product safety is compromised.",1
Take disciplinary action to address performance problems.,3
"Take dictation using shorthand, a stenotype machine, or headsets and transcribing machines.",1
Take depth soundings in turning basins.,1
"Take customers' orders and write ordered items on tickets, giving ticket stubs to customers when needed to identify filled orders.",1
Take customer orders and convey them to other employees for preparation.,2
Take class attendance and maintain attendance records.,3
Take brief medical histories from patients.,1
Take beverage orders from serving staff or directly from patrons.,1
"Take appropriate safety precautions, such as monitoring dive lengths and depths and registering with authorities before diving expeditions begin.",1
"Take animals into treatment areas and assist with physical examinations by performing such duties as obtaining temperature, pulse, or respiration data.",1
"Take and record temperature of food and food storage areas, such as refrigerators and freezers.",1
Take and record medical and dental histories and vital signs of patients.,2
"Take and record measures of patients' physical condition, using devices such as thermometers or blood pressure gauges.",3
Take and prepare to-go orders.,2
Take and document patients' medical histories.,4
"Take and develop diagnostic radiographs, using x-ray equipment.",2
"Take anatomical or functional ocular measurements, such as axial length measurements, of the eye or surrounding tissue.",1
"Take anatomical or functional ocular measurements of the eye or surrounding tissue, such as axial length measurements.",1
"Take actions to avoid potential hazards or obstructions, such as utility lines, other equipment, other workers, or falling objects.",1
Take action to deal with disruptive or problem patrons.,1
"Take action to contain any hazardous chemicals that could catch fire, leak, or spill.",1
"Tailor conservation plans to landowners' goals, such as livestock support, wildlife, or recreation.",1
Tag unsafe trees with high-visibility ribbons.,1
"Tag garbage or recycling containers to inform customers of problems, such as excess garbage or inclusion of items that are not permitted.",1
Tack-weld fitted parts together.,1
"Synthesize, process, or characterize nanomaterials, using advanced tools or techniques.",1
Synthesize current business intelligence or trend data to support recommendations for action.,1
Synchronize speeds of sections of machines when producing products involving several steps or processes.,1
"Synchronize and equalize prerecorded dialogue, music, and sound effects with visual action of motion pictures or television productions, using control consoles.",1
Synchronize activities with other pumphouses to ensure a continuous flow of products and a minimum of contamination between products.,1
"Switch sources of video input from one camera or studio to another, from film to live programming, or from network to local programming.",1
"Switch on machines, lower pressure feet or rollers to secure parts, and start machine stitching, using hand, foot, or knee controls.",1
Switch from automatic to manual controls and isolate equipment mechanically and electrically to allow for safe inspection and repair work.,1
"Switch between video sources in a studio or on multi-camera remotes, using equipment such as switchers, video slide projectors, and video effects generators.",1
"Sweep, shovel, or vacuum loose debris or salvageable scrap into containers and remove containers from work areas.",3
"Sweep, scrub, wax, or polish floors, using brooms, mops, or powered scrubbing and waxing machines.",1
"Sweep, scrape, sand, or chip dirt and irregularities to clean base surfaces, correcting imperfections that may show through the covering.",2
"Sweep, mop, and wash down decks to remove oil, dirt, and debris, using brooms, mops, brushes, and hoses.",1
Sweep sand into the joints and compact pavement until the joints are full.,2
Sweep sand from the surface prior to opening to traffic.,1
Sweep or vacuum the cremation chamber to retrieve remains for storage in an urn or other container.,1
Sweep or scrub floors.,1
Sweep and clean roofs to prepare them for the application of new roofing materials.,1
Swab molds with solutions to prevent products from sticking.,1
Suture perineal lacerations.,1
"Suspend sticks or pieces of plating metal from anodes, or positive terminals, and immerse metal in plating solutions.",1
"Suspend objects, such as parts or molds from cathode rods, or negative terminals, and immerse objects in plating solutions.",1
"Suspend angle iron grids or channel irons from ceilings, using wire.",1
"Survey, measure, and map access roads and forest areas such as burns, cut-over areas, experimental plots, and timber sales sections.",2
"Survey undisturbed or disturbed lands for classification, inventory, mapping, environmental impact assessments, environmental protection planning, conservation planning, or reclamation planning.",1
Survey park to determine forest conditions and distribution and abundance of fauna and flora.,1
"Survey bodies of water to determine navigable channels and to secure data for construction of breakwaters, piers, and other marine structures.",1
Survey areas and compile figures of bag counts of hunters to determine the effectiveness of control measures.,1
"Surgically treat conditions such as corns, calluses, ingrown nails, tumors, shortened tendons, bunions, cysts, or abscesses.",1
"Support, plan, and coordinate operations for single or multiple surveys.",2
Support the development of training materials and technical manuals.,1
"Support metalworking projects from planning and fabrication through assembly, inspection, and testing, using knowledge of machine functions, metal properties, and mathematics.",2
Support efforts to reduce substance abuse or other illegal activities in the workplace.,1
"Support children's emotional and social development, encouraging understanding of others and positive self-concepts.",1
"Supply, operate, or maintain personal protective equipment.",1
"Supply, collect, or empty bedpans.",1
"Supply the latest price quotes on any security, as well as information on the activities or financial positions of the corporations issuing these securities.",2
Supply quality control data necessary for regulatory submissions.,1
Supply or hold tools and materials.,1
"Supply materials to spindles, conveyors, hoppers, or other feeding devices and unload packaged product.",1
"Supply guests or travelers with directions, travel information, and other information, such as available services and points of interest.",2
Supply equipment to rig floors as requested and provide assistance to roughnecks.,2
"Supply currency, coins, chips, or gaming checks to other departments as needed.",1
"Supply animals with food, water, and personal care.",1
"Supply and place base materials, edge restraints, bedding sand and jointing sand.",2
