DWA Title,Count of tasks_to_dwas.csv
Mark agricultural or forestry products for identification.,9
Maneuver workpieces in equipment during production.,6
Manage scientific or technical project resources.,6
Manage preparation of special meals or diets.,8
Manage outreach activities.,6
Manage organizational security activities.,11
Manage organizational or project budgets.,10
Manage organizational or program finances.,4
"Manage operations, research, or logistics projects.",12
Manage operations of artistic or entertainment departments or organizations.,10
Manage inventories of products or organizational resources.,6
Manage information technology projects or system activities.,17
Manage human resources activities.,23
Manage healthcare operations.,19
Manage guest services.,5
Manage food service operations or parts of operations.,7
Manage financial activities of the organization.,7
Manage environmental sustainability projects.,7
Manage documentation to ensure organization or accuracy.,6
Manage control system activities in organizations.,10
Manage content of broadcasts or presentations.,9
Manage construction activities.,13
Manage clerical or administrative activities.,7
Manage budgets for personal services operations.,6
Manage budgets for appropriate resource allocation.,6
Manage agricultural or forestry operations.,20
"Make travel, accommodations, or entertainment arrangements for others.",9
Make patient-assistive devices or device models.,6
Make decisions in legal cases.,8
Maintain work equipment or machinery.,27
Maintain watercraft engines or machinery.,12
Maintain vehicles in good working condition.,22
Maintain the order of legal documents.,5
Maintain the inventory of equipment.,5
Maintain test equipment.,6
Maintain sustainable energy production equipment.,7
Maintain surveillance of individuals or establishments.,11
Maintain supply or equipment inventories.,11
Maintain student records.,56
Maintain sterile operative fields.,6
Maintain social services program records.,3
Maintain security.,9
Maintain safety.,3
Maintain repair or maintenance records.,23
Maintain regulatory or compliance documentation.,11
"Maintain records, documents, or other files.",16
Maintain records of sales or other business transactions.,15
Maintain records of customer accounts.,5
Maintain recording or broadcasting equipment.,8
Maintain public order or security.,5
Maintain professional social services knowledge.,5
Maintain professional knowledge or certifications.,18
Maintain production or processing equipment.,42
Maintain plumbing structures or fixtures.,10
Maintain personnel records.,10
Maintain operational records.,54
Maintain operational records or records systems.,22
Maintain operational records for green energy processes or other environmentally-sustainable activities.,8
Maintain office equipment in proper operating condition.,10
Maintain medical records.,21
Maintain medical or professional knowledge.,36
Maintain medical laboratory equipment.,9
Maintain medical facility records.,20
Maintain medical equipment or instruments.,27
Maintain mechanical equipment.,15
Maintain material moving equipment in good working condition.,13
Maintain logs of production activities.,7
Maintain locomotives or other rail equipment in good working condition.,5
Maintain laboratory or technical equipment.,13
Maintain knowledge of laws or regulations.,2
Maintain knowledge of current developments in area of expertise.,23
Maintain knowledge of business operations.,5
Maintain inventory records.,10
Maintain inventory of medical supplies or equipment.,21
"Maintain inventories of materials, equipment, or products.",69
Maintain green energy production plant equipment.,3
"Maintain forestry, hunting, or agricultural equipment.",10
"Maintain food, beverage, or equipment inventories.",6
Maintain fire fighting tools or equipment.,5
Maintain financial or account records.,37
Maintain facilities.,11
Maintain extraction or excavation equipment.,5
Maintain equipment or systems to ensure proper functioning.,6
Maintain electronic equipment.,13
Maintain electromechanical equipment.,6
Maintain drilling equipment.,8
Maintain data in information systems or databases.,22
Maintain current knowledge related to work activities.,12
Maintain contingency plans for disaster recovery.,4
Maintain construction tools or equipment.,12
Maintain computer networks to enhance performance and user access.,7
Maintain computer hardware.,6
Maintain computer equipment or software.,10
Maintain client records.,9
Maintain client information or service records.,13
Maintain clean work areas.,6
Maintain call records.,4
Lubricate production equipment.,26
Lubricate equipment to allow proper functioning.,22
Locate suspicious objects or vehicles.,7
Locate natural resources using geospatial or other environmental data.,7
Locate fires or fire danger areas.,5
Locate equipment or materials in need of repair or replacement.,7
Locate animals for fishing or hunting purposes.,3
"Load shipments, belongings, or materials.",13
Load or unload materials used in construction or extraction.,9
Load materials or equipment.,8
Load materials into production equipment.,52
Load materials into equipment for processing.,8
Load materials into construction equipment.,8
Load items into ovens or furnaces.,10
Load digital images onto computers or websites.,3
Load agricultural or forestry products for shipment.,4
Lift materials or workpieces using cranes or other lifting equipment.,15
Liaise between departments or other groups to improve function or communication.,10
Level machines or equipment.,3
Lead classes or community events.,14
Lay out work according to specifications.,6
Lay out parts to prepare for assembly.,5
Lay cables to connect equipment.,10
Label production materials.,1
Issue warnings or citations.,4
Issue permits or other legal documents.,4
"Issue money, credit, or vouchers.",6
Issue documentation or identification to customers or employees.,6
Issue certificates or licenses.,2
"Irrigate lawns, trees, or plants.",4
Investigate work related complaints to determine corrective actions.,4
"Investigate transportation incidents, violations, or complaints.",4
Investigate the environmental impact of projects.,19
"Investigate system, equipment, or product failures.",6
Investigate safety of work environment.,8
Investigate personal characteristics or activities of individuals.,5
Investigate legal issues.,23
Investigate industrial or transportation accidents.,3
Investigate illegal or suspicious activities.,15
Investigate crimes committed within organizations.,7
Investigate accidents to determine causes.,6
Inventory medical supplies or equipment.,13
Inventory materials or equipment.,6
"Interview witnesses, suspects, or claimants.",9
Interview people to obtain information about actions or status of individuals.,4
Interview people to gather information about criminal activities.,8
Interview patients to gather medical information.,5
Interview others for news or entertainment purposes.,3
"Interview employees, customers, or others to collect information.",30
"Interview clients to gather information about their backgrounds, needs, or progress.",11
Interview clients to gather financial information.,4
Interview claimants to get information related to legal proceedings.,4
Intervene in crisis situations to assist clients.,6
Interpret research or operational data.,16
Interpret financial information for others.,6
Interpret design or operational test results.,7
Interpret cultural or religious information for others.,4
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",13
Interact with patients to build rapport or provide emotional support.,8
Instruct workers to use equipment or perform technical procedures.,10
Instruct staff in work policies or procedures.,6
Instruct patients in the use of assistive equipment.,15
Instruct college students in social sciences or humanities disciplines.,8
Instruct college students in physical or life sciences.,11
Install wooden structural components.,9
Install vehicle parts or accessories.,16
Install trim or paneling.,4
Install structural foundations.,3
Install solar energy systems.,13
Install safety or support equipment.,6
Install roofing materials.,18
Install programs onto computer or computer-controlled equipment.,6
Install production equipment or systems.,6
Install prefabricated or manufactured structures.,1
Install plumbing or piping.,22
Install piping for installation or maintenance activities.,6
"Install parts, assemblies, or attachments in transportation or material handling equipment.",14
Install metering equipment.,5
Install metal structural components.,22
Install mechanical components in production equipment.,14
Install masonry materials.,21
Install machine or equipment replacement parts.,11
Install insulation in equipment or structures.,23
Install instrumentation or electronic equipment or systems.,7
Install home appliances.,4
"Install heating, ventilation, or air conditioning (HVAC) equipment.",5
Install hardware or other interior fixtures.,4
"Install green structural components, equipment or systems.",5
Install green plumbing or water handling systems.,2
Install gauges or controls.,5
Install fencing or other barriers.,9
Install equipment to protect or support trees.,2
Install equipment attachments or components.,10
"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment.",9
"Install electrical components, equipment, or systems.",34
Install drilling equipment.,4
Install doors or windows.,7
Install computer software.,17
Install computer hardware.,13
Install carpet or flooring.,8
Install building fixtures.,13
Install audio or communications equipment.,6
Inspected printed materials or other images to verify quality.,12
Inspect work to ensure standards are met.,8
Inspect work sites to identify potential environmental or safety hazards.,10
Inspect work sites to determine condition or necessary repairs.,9
Inspect work environments to ensure safety.,7
Inspect vehicles to determine overall condition.,5
Inspect timing devices.,5
Inspect textile products.,5
Inspect telecommunications equipment to identify problems.,6
Inspect systems to determine if they are operating properly.,7
Inspect sustainable energy production facilities or equipment.,4
Inspect structural components of vehicles to identify problems.,5
Inspect shipments to ensure correct order fulfillment.,6
Inspect sets or exhibits.,3
Inspect safety equipment to ensure proper functioning.,3
Inspect products or operations to ensure that standards are met.,12
Inspect production equipment.,24
Inspect plumbing systems or fixtures.,7
Inspect operations of green energy facilities.,6
Inspect operational processes.,6
Inspect motor vehicles.,20
"Inspect metal, plastic, or composite products.",13
Inspect medical or dental assistive devices.,2
"Inspect mechanical equipment to locate damage, defects, or wear.",17
Inspect mechanical components of vehicles to identify problems.,23
Inspect materials or equipment to determine need for repair or replacement.,4
Inspect material-moving equipment to detect problems.,7
Inspect lumber or raw woodstock.,3
Inspect locomotives or other railroad equipment.,9
Inspect landscaping to determine treatment needs.,3
Inspect items for damage or defects.,11
Inspect installed components or assemblies.,3
Inspect industrial or commercial equipment to ensure proper operation.,10
Inspect gas systems or components to identify leaks or other potential hazards.,4
"Inspect garments for defects, damage, or stains.",5
Inspect food products.,9
Inspect finishes of workpieces or finished products.,8
Inspect finished products to locate flaws.,11
Inspect facilities.,7
"Inspect facilities, equipment or supplies to ensure conformance to standards.",11
Inspect facilities to ensure compliance with security or safety regulations.,9
"Inspect facilities to ensure compliance with safety, quality, or service standards.",5
Inspect facilities to ensure compliance with fire regulations.,6
Inspect facilities or sites to determine if they meet specifications or standards.,17
Inspect facilities or equipment to ensure specifications are met.,10
Inspect facilities for cleanliness.,4
Inspect equipment to locate or identify electrical problems.,5
Inspect equipment to ensure safety or proper functioning.,16
Inspect equipment to ensure proper functioning.,17
Inspect equipment or tools to be used in construction or excavation.,11
Inspect equipment or systems.,9
Inspect equipment or facilities to determine condition or maintenance needs.,6
Inspect electrical or electronic systems for defects.,13
Inspect condition or functioning of facilities or equipment.,12
Inspect condition of natural environments.,7
Inspect completed work to ensure proper installation.,11
Inspect completed work to ensure proper functioning.,7
Inspect communications or broadcasting equipment.,1
Inspect cargo to identify potential hazards.,8
Inspect cargo to ensure it is properly loaded or secured.,5
Inspect cargo areas for cleanliness or condition.,3
Inspect buildings or grounds to determine condition.,3
Inspect areas for compliance with sanitation standards.,3
Inspect aircraft or aircraft components.,8
"Inform viewers, listeners, or audiences.",11
"Inform the public about policies, services or procedures.",11
Inform others about laws or regulations.,3
Inform medical professionals regarding patient conditions and care.,24
Inform individuals or organizations of status or findings.,14
Incorporate green features into the design of structures or facilities.,9
Implement transportation changes to reduce environmental impact.,4
Implement therapeutic programs to improve patient functioning.,6
Implement security measures for computer or information systems.,21
Implement organizational process or policy changes.,55
Implement financial decisions.,6
Implement design or process improvements.,13
Implement advertising or marketing initiatives.,11
Implement advanced life support techniques.,12
Immunize patients.,8
Immerse objects or workpieces in cleaning or coating solutions.,11
Ignite fuel to activate heating equipment.,4
Identify sustainable business practices.,5
Identify strategic business investment opportunities.,5
Identify potential customers.,15
Identify opportunities to improve operational efficiency.,13
Identify opportunities for green initiatives.,5
Identify new applications for existing technologies.,4
Identify job or employment opportunities.,1
Identify investment opportunities or strategies.,3
Identify information technology project resource requirements.,9
Identify implications for cases from legal precedents or other legal information.,9
Identify environmental concerns.,5
Identify actions needed to bring properties or facilities into compliance with regulations.,2
Host events.,3
Hold patients to ensure proper positioning or safety.,8
Hire personnel.,28
Help patrons use library or archival resources.,5
Help clients get needed services or resources.,9
Heat material or workpieces to prepare for or complete production.,11
Harvest agricultural products.,2
Handle luggage or other possessions for patrons.,7
Handle caskets.,7
Guide patrons on tours.,3
Guide class discussions.,35
Guard facilities.,3
Groom wigs or hairpieces.,5
Grind parts to required dimensions.,5
"Greet customers, patrons, or visitors.",19
Give medications or immunizations.,8
Gather physical survey data.,10
Gather organizational performance information.,7
Gather medical information from patient histories.,15
Gather information in order to provide services to clients.,5
Gather information for news stories.,9
Gather information about work conditions or locations.,8
Gather financial records.,7
Gather customer or product information to determine customer needs.,19
"Format digital documents, data, or images.",11
"Forecast economic, political, or social trends.",5
Follow safety procedures for vehicle operation.,10
Follow protocols or regulations for healthcare activities.,10
Fit patients for assistive devices.,3
"Fit eyeglasses, contact lenses, or other vision aids.",4
Finish concrete surfaces.,14
"Fill cracks, imperfections, or holes in products or workpieces.",8
File documents or records.,17
Feed patients.,7
Feed materials or products into or through equipment.,22
Fabricate products or components using machine tools.,4
Fabricate parts or components.,36
Fabricate medical devices.,18
Fabricate devices or components.,6
Explain use of products or services.,7
Explain technical product or service information to customers.,24
Explain technical medical information to patients.,4
"Explain regulations, policies, or procedures.",69
Explain project details to the general public.,7
Explain medical procedures or test results to patients or family members.,26
Explain financial information to customers.,12
"Explain engineering drawings, specifications, or other technical information.",7
Execute sales or other financial transactions.,35
Exchange information with colleagues.,24
Examine records or other types of data to investigate criminal activities.,19
Examine product information to ensure compliance with regulations.,5
Examine physical characteristics of natural stone or stone products.,1
Examine physical characteristics of gemstones or precious metals.,5
Examine personal documentation to ensure that it is valid.,6
Examine patients to assess general physical condition.,40
"Examine mouth, teeth, gums, or related facial structures.",6
Examine medical instruments or equipment to ensure proper operation.,12
Examine marketing materials to ensure compliance with policies or regulations.,4
Examine financial records.,23
Examine financial records to ensure compliance with policies or regulations.,4
Examine financial records or processes.,8
Examine documents to verify adherence to requirements.,7
Examine debris to obtain information about causes of fires.,4
Examine crime scenes to obtain evidence.,8
Examine condition of property or products.,13
Examine characteristics or behavior of living organisms.,9
"Examine animals to detect illness, injury or other problems.",4
Evaluate utility of software or hardware technologies.,19
Evaluate treatment options to guide medical decisions.,7
"Evaluate training programs, instructors, or materials.",6
Evaluate the effectiveness of counseling or educational programs.,7
Evaluate the characteristics of green technologies.,2
Evaluate technical data to determine effect on designs or plans.,6
Evaluate student work.,115
Evaluate skills of athletes or performers.,7
Evaluate scholarly materials.,8
Evaluate reports or designs to determine work needs.,2
Evaluate quality of plants or crops.,6
Evaluate quality of materials or products.,28
Evaluate quality of food ingredients or prepared foods.,5
Evaluate projects to determine compliance with technical specifications.,3
Evaluate project designs to determine adequacy or feasibility.,6
Evaluate program effectiveness.,17
Evaluate potential problems in home or work environments of clients.,5
"Evaluate potential of products, technologies, or resources.",7
Evaluate plans or specifications to determine technological or environmental implications.,6
Evaluate personnel practices to ensure adherence to regulations.,12
Evaluate performance of educational staff.,13
"Evaluate performance of applicants, trainees, or employees.",4
Evaluate patient outcomes to determine effectiveness of treatments.,7
"Evaluate patient functioning, capabilities, or health.",17
Evaluate new technologies or methods.,7
Evaluate logistics methods to reduce environmental impact.,8
Evaluate log quality.,5
Evaluate information related to legal matters in public or personal records.,11
Evaluate green operations or programs for compliance with standards or regulations.,8
Evaluate environmental or sustainability projects.,6
Evaluate environmental impact of operational or development activities.,5
Evaluate energy production data.,3
Evaluate employee performance.,39
Evaluate effectiveness of personnel policies or practices.,6
Evaluate effectiveness of educational programs.,42
Evaluate designs or specifications to ensure quality.,15
Evaluate data quality.,10
Evaluate current or prospective maintenance employees.,3
Evaluate construction projects to determine compliance with external standards or regulations.,5
Evaluate condition of properties.,4
Evaluate civic projects or public policies.,5
Evaluate characteristics of products.,1
Evaluate characteristics of individuals to determine needs or eligibility.,9
Evaluate characteristics of equipment or systems.,17
Evaluate characteristics of archival or historical objects.,5
Evaluate capabilities or training needs.,7
Evaluate applicable laws and regulations to determine impact on organizational activities.,9
Estimate time requirements for development or production projects.,3
Estimate time or monetary resources needed to complete projects.,5
Estimate technical or resource requirements for development or production projects.,18
"Estimate supplies, ingredients, or staff requirements for food preparation activities.",4
Estimate operational costs.,21
Estimate materials requirements for projects.,10
Estimate material requirements for production.,4
Estimate maintenance service requirements or costs.,5
Estimate labor requirements.,5
"Estimate labor or resource requirements for forestry, fishing, or agricultural operations.",1
Estimate green project costs.,5
Estimate demand for products or services.,2
Estimate costs or terms of sales.,11
"Estimate costs of products, services, or materials.",6
Estimate costs of goods or services.,11
Estimate costs for projects or productions.,5
Estimate costs for labor or materials.,12
Estimate cost or material requirements.,4
Estimate construction project labor requirements.,5
Estimate construction project costs.,8
Establish work standards.,4
Establish treatment goals.,3
"Establish standards for products, processes, or procedures.",7
Establish standards for medical care.,5
Establish rules or policies governing student behavior.,15
Establish organizational guidelines or policies.,13
Establish operational policies.,5
Establish nursing policies or standards.,7
Establish interpersonal business relationships to facilitate work activities.,18
Establish business management methods.,5
"Escort prisoners to courtrooms, prisons, or other facilities.",4
Entertain public with comedic or dramatic performances.,10
Enter patient or treatment data into computers.,11
Enter information into databases or software programs.,31
"Enter commands, instructions, or specifications into equipment.",14
Enter codes or other information into computers.,8
"Engrave designs, text, or other markings onto materials, workpieces, or products.",14
Engage patients in exercises or activities.,7
Enforce rules or regulations.,12
Enforce rules or policies governing student behavior.,13
Encourage students.,14
Encourage patients or clients to develop life skills.,3
Encourage patients during therapeutic activities.,7
Embalm corpses.,13
Educate the public about fire safety or prevention.,4
Educate clients on financial planning topics.,9
Edit written materials.,24
Edit documents.,9
Edit audio or video recordings.,15
Drive vehicles to transport patrons.,5
Drive vehicles to transport individuals or equipment.,6
Drive trucks or truck-mounted equipment.,13
Drive trucks or other vehicles to or at work sites.,12
Drive passenger vehicles.,17
"Drill holes in parts, equipment, or materials.",24
Drill holes in earth or rock.,4
Drill holes in construction materials.,12
Draw guide lines or markings on materials or workpieces using patterns or other references.,37
Draw detailed or technical illustrations.,25
Draft legislation or regulations.,3
Download data.,2
Document work hours or activities.,6
Document test results.,4
Document technical specifications or requirements.,7
Document technical design details.,20
Document organizational or operational procedures.,9
Document operational procedures.,11
Document operational activities.,25
Document network-related activities or tasks.,9
Document lesson plans.,12
Document legal or regulatory information.,3
Document information related to legal proceedings.,7
"Document events or evidence, using photographic or audiovisual equipment.",4
Document design or operational test results.,15
Document design or development procedures.,11
Document client health or progress.,5
Distribute supplies to workers.,6
Distribute resources to patrons or employees.,7
Distribute promotional literature or samples to customers.,8
Distribute materials to employees or customers.,11
Distribute instructional or library materials.,23
Distribute incoming mail.,7
Dispose of trash or waste materials.,7
Dispose of hazardous materials.,5
Dispose of biomedical waste in accordance with standards.,8
Display student work.,11
Dismantle heavy equipment or machinery.,6
Dismantle equipment or temporary structures.,7
Discuss student progress with parents or guardians.,31
Discuss service options or needs with clients.,6
Discuss production content and progress with others.,9
Discuss problems or issues with supervisors.,26
"Discuss performance, complaints, or violations with supervisors.",4
Discuss goods or services information with customers or patrons.,10
Discuss designs or plans with clients.,9
Discuss design or technical features of products or services with technical personnel.,10
Discuss child development and behavior with parents or guardians.,5
"Discuss business strategies, practices, or policies with managers.",10
Discuss account status or activity with customers or patrons.,14
Disburse funds from clients accounts to creditors.,3
Disassemble equipment to inspect for deficiencies.,7
Disassemble equipment for maintenance or repair.,38
Disable door locks.,2
Direct vehicle traffic.,15
Direct technical activities or operations.,6
Direct surveying activities.,5
Direct security operations.,3
Direct scientific activities.,7
"Direct sales, marketing, or customer service activities.",16
Direct quality control activities.,10
Direct productions or performances.,7
Direct passenger or freight transport activities.,14
"Direct organizational operations, projects, or services.",29
Direct operations of correctional facilities.,3
Direct operational or production activities.,36
Direct natural resources management or conservation programs.,8
Direct natural resources extraction projects.,3
Direct medical science or healthcare programs.,9
Direct material handling or moving activities.,18
Direct maintenance or repair activities.,7
Direct maintenance and repair activities in green energy production facilities.,7
Direct law enforcement activities.,6
Direct installation activities.,8
Direct industrial production activities.,9
Direct healthcare delivery programs.,13
Direct green energy production operations.,9
Direct funeral or mortuary activities.,12
Direct fundraising or financing activities.,7
Direct fire fighting or prevention activities.,13
Direct financial operations.,18
Direct facility maintenance or repair activities.,12
Direct equipment maintenance or repair activities.,8
Direct environmental development activities.,5
Direct energy production or management activities.,10
Direct employee training programs.,4
Direct emergency management activities.,6
Direct design or development activities.,8
Direct department activities.,36
Direct criminal investigations.,3
Direct courtroom activities or procedures.,6
Direct construction or extraction personnel.,20
Direct construction activities.,5
Direct administrative or support services.,8
Direct activities of subordinates.,14
"Direct activities of agricultural, forestry, or fishery employees.",6
Dig holes or trenches.,18
Diagnose neural or psychological disorders.,9
Diagnose medical conditions.,38
Diagnose equipment malfunctions.,8
Diagnose dental conditions.,2
Devise research or testing protocols.,19
Develop working relationships with others to facilitate program activities.,6
Develop treatment plans that use non-medical therapies.,21
Develop treatment plans for patients or clients.,13
Develop training materials.,11
Develop tools to diagnose or assess needs.,3
Develop theories or models of social phenomena.,1
Develop theories or models of physical phenomena.,9
Develop testing routines or procedures.,18
Develop technical specifications for systems or equipment.,7
Develop technical processes to improve the efficiency of biofuel production.,7
Develop technical or scientific databases.,9
Develop technical methods or processes.,26
Develop sustainable organizational policies or practices.,10
Develop sustainable industrial or development methods.,6
Develop sustainable business strategies or practices.,5
Develop strategies or programs for students with special needs.,30
Develop specifications or procedures for website development or maintenance.,10
Develop specifications for new products or processes.,5
Develop specifications for computer network operation.,3
Develop software or computer applications.,11
Develop software or applications for scientific or technical use.,19
Develop scientific or mathematical models.,6
"Develop safety standards, policies, or procedures.",13
Develop proposals for current or prospective customers.,7
Develop promotional strategies or plans.,10
Develop promotional strategies for religious organizations.,4
Develop promotional materials.,10
Develop program goals or plans.,5
Develop professional relationships or networks.,7
Develop procedures to evaluate organizational activities.,13
Develop procedures for data management.,12
Develop procedures for data entry or processing.,4
"Develop policies or procedures for archives, museums or libraries.",4
Develop plans to manage natural or renewable resources.,11
Develop plans for programs or services.,8
Develop performance metrics or standards related to information technology.,11
Develop patient therapy programs.,4
Develop organizational policies or programs.,35
Develop organizational methods or procedures.,8
Develop organizational goals or objectives.,16
Develop operational methods or processes that use green materials or emphasize sustainability.,9
"Develop operating strategies, plans, or procedures.",37
"Develop operating strategies, plans, or procedures for green or sustainable operations.",7
Develop new or advanced products or production methods.,8
Develop models of information or communications systems.,15
Develop methods of social or economic research.,6
Develop medical treatment plans.,29
Develop mathematical models of environmental conditions.,8
Develop marketing plans or strategies.,20
Develop marketing plans or strategies for environmental initiatives.,5
Develop library or archival databases.,5
Develop instructional objectives.,62
Develop instructional materials.,50
Develop information communication procedures.,4
Develop healthcare quality and safety procedures.,5
Develop health assessment methods or programs.,7
Develop guidelines for system implementation.,5
Develop fire safety or prevention programs or plans.,7
Develop financial plans for clients.,8
Develop financial or business plans.,7
Develop financial analysis methods.,6
Develop exercise or conditioning programs.,5
Develop equipment or component configurations.,7
Develop environmental sustainability plans or projects.,12
Develop environmental research methods.,5
Develop environmental remediation or protection plans.,8
Develop emergency response plans or procedures.,12
Develop emergency procedures.,3
Develop educational programs.,15
Develop educational policies.,2
Develop educational or training programs.,6
"Develop educational goals, standards, policies, or procedures.",7
Develop diagrams or flow charts of system operation.,7
Develop detailed project plans.,11
Develop database parameters or specifications.,6
Develop data analysis or data management procedures.,5
Develop daily schedules for children or families.,3
Develop contingency plans to deal with organizational emergencies.,6
Develop content for sales presentations or other materials.,13
Develop computer or online applications.,8
Develop computer or information systems.,6
Develop computer or information security policies or procedures.,11
Develop collaborative relationships between departments or with external organizations.,3
Develop business relationships.,9
Develop business or market strategies.,8
Develop business or financial information systems.,15
Develop biological research methods.,4
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",20
Develop agricultural methods.,11
"Determine types of equipment, tools, or materials needed for jobs.",9
Determine the value of goods or services.,12
Determine technical requirements of productions or projects.,12
Determine resource needs.,11
Determine protocols for medical procedures.,12
Determine production equipment settings.,6
Determine pricing or monetary policies.,7
Determine prices for menu items.,3
Determine presentation subjects or content.,18
Determine operational procedures.,8
Determine operational methods.,15
Determine operational criteria or specifications.,11
Determine operational compliance with regulations or standards.,13
Determine methods to minimize environmental impact of activities.,5
Determine metal or plastic production methods.,6
Determine geographic coordinates.,2
Determine forestry techniques or methods.,3
Determine food production methods.,4
Determine design criteria or specifications.,10
Determine construction project layouts.,5
Determine causes of operational problems or failures.,6
Determine appropriate methods for data analysis.,11
Determine appropriate locations for operations or installations.,6
Detain suspects or witnesses.,6
Design websites or web applications.,16
Design water conservation systems.,2
Design video game features or details.,6
"Design tools, fixtures, or other devices for production equipment.",5
Design templates or patterns.,17
Design systems to reduce harmful emissions.,4
Design structures or facilities.,9
Design software applications.,10
Design research studies to obtain scientific information.,10
Design public or employee health programs.,17
Design psychological or educational treatment procedures or programs.,9
"Design micro- or nano-scale materials, devices, or systems.",4
Design medical devices or appliances.,7
Design materials for industrial or commercial applications.,4
Design layouts for print publications.,7
"Design layout of art or product exhibits, displays, or promotional materials.",6
Design jewelry or decorative objects.,6
Design integrated computer systems.,8
Design industrial processing systems.,18
Design industrial equipment.,12
Design healthcare-related software applications.,3
Design furniture.,2
Design environmental control systems.,4
Design energy-efficient vehicles or vehicle components.,4
Design energy-efficient equipment or systems.,2
Design energy production or management equipment or systems.,6
Design electronic or computer equipment or instrumentation.,22
Design electromechanical equipment or systems.,17
Design electrical equipment or systems.,6
Design costumes or cosmetic effects for characters.,4
Design control systems for mechanical or other equipment.,5
Design computer modeling or simulation programs.,7
Design civil structures or systems.,8
Design alternative energy systems.,8
Demonstrate products to consumers.,11
Demonstrate activity techniques or equipment use.,13
Deliver promotional presentations to current or prospective customers.,6
Deliver items.,22
Decorate indoor or outdoor spaces.,4
Decontaminate equipment or sites to remove hazardous or toxic substances.,7
Cut wood components for installation.,6
Cut trees or logs.,10
"Cut tile, stone, or other masonry materials.",13
Cut openings in existing structures.,3
Cut metal components for installation.,17
Cut meat products.,13
Cut materials according to specifications or needs.,21
Cut industrial materials in preparation for fabrication or processing.,32
Cut glass.,4
Cut fabrics.,10
Cut cooked or raw foods.,9
"Cut carpet, vinyl or other flexible materials.",17
Customize financial products or services to meet customer needs.,4
Customize energy products or services to meet customer needs.,2
"Cultivate micro-organisms for study, testing, or medical preparations.",3
"Cultivate lawns, turf, or gardens.",6
Cultivate land.,6
Create technology-based learning materials.,23
Create schematic drawings for electronics.,7
Create physical models or prototypes.,9
Create new recipes or food presentations.,5
"Create musical compositions, arrangements or scores.",17
Create models of engineering designs or methods.,19
Create marketing materials.,13
Create maps.,14
Create images or other visual displays.,10
"Create images of data, locations, or products.",6
Create graphical representations of structures or landscapes.,14
Create graphical representations of mechanical equipment.,14
Create graphical representations of industrial production systems.,5
Create graphical representations of energy production systems.,4
Create graphical representations of civil structures.,6
Create electronic data backup to prevent loss of information.,7
Create electrical schematics.,7
Create diagrams or blueprints for workpieces or products.,4
Create databases to store electronic data.,18
Create construction or installation diagrams.,8
Create computer-generated graphics or animation.,12
Create advanced digital images of patients using computer imaging systems.,10
Count prison inmates or personnel.,3
Count finished products or workpieces.,7
Counsel family members of clients or patients.,6
Counsel clients regarding interpersonal issues.,6
Counsel clients regarding educational or vocational issues.,6
Counsel clients or patients with substance abuse issues.,7
Counsel clients or patients regarding personal issues.,10
Counsel clients on mental health or personal achievement.,13
Correspond with customers to answer questions or resolve complaints.,18
Coordinate with external parties to exchange information.,10
Coordinate training activities.,6
Coordinate timing of food production activities.,5
Coordinate student extracurricular activities.,9
Coordinate special events or programs.,11
Coordinate software or hardware installation.,6
Coordinate shipping activities with external parties.,8
Coordinate sales campaigns.,5
Coordinate safety or regulatory compliance activities.,8
Coordinate resource procurement activities.,6
Coordinate reporting or editing activities.,7
Coordinate regulatory documentation activities.,10
Coordinate project activities with other personnel or departments.,11
Coordinate personnel recruitment activities.,8
Coordinate operational activities.,19
Coordinate operational activities with external stakeholders.,15
Coordinate musical rehearsals or performances.,6
Coordinate logistics or other business operations.,10
Coordinate logistics for productions or events.,21
Coordinate legal schedules or activities.,8
Coordinate forestry or agricultural activities.,2
Coordinate flight control or management activities.,8
Coordinate enforcement of laws or regulations.,5
Coordinate design activities.,4
Coordinate cross-disciplinary research programs.,4
Coordinate construction project activities.,8
Coordinate construction or installation activities.,7
Coordinate athletic or sporting events or activities.,12
Coordinate artistic activities.,8
"Coordinate activities with suppliers, contractors, clients, or other departments.",7
Coordinate activities of production personnel.,12
Coordinate activities of food service staff.,7
Cook foods.,24
Convert data among multiple digital or analog formats.,6
Control pumps or pumping equipment.,20
Control prescription refills or authorizations.,3
Control power supply connections.,7
Control equipment that regulates vehicle traffic.,7
Contract real estate to clients.,3
Contact current or potential customers to promote products or services.,14
Consult with others regarding safe or healthy equipment or facilities.,3
"Construct patterns, templates, or other work aids.",8
Construct exhibits or parts of exhibits.,5
"Construct distinctive physical objects for artistic, functional, or commercial purposes.",13
Construct customized assistive medical or dental devices.,6
Connect supply lines to production equipment or tools.,7
Connect hoses to equipment or piping.,7
Connect hoses to equipment or machinery.,9
Connect electrical components or equipment.,21
Connect cables or electrical lines.,8
Confiscate prohibited or dangerous items.,7
Configure computer networks.,7
Confer with technical personnel to prepare designs or operational plans.,27
Confer with personnel to coordinate business operations.,11
Confer with others to resolve production problems or equipment malfunctions.,8
Confer with others to conduct or arrange operational activities.,6
Confer with others about financial matters.,10
Confer with other professionals to plan patient care.,10
